"Online.boarding","Flight.Distance","Inflight.wifi.service","Departure.Arrival.time.convenient","Inflight.entertainment","Leg.room.service","Checkin.service","On.board.service","Ease.of.Online.booking","satisfaction"
0,223,3,4,2,2,3,5,0,"neutral or dissatisfied"
5,337,1,1,3,5,4,4,5,"neutral or dissatisfied"
1,190,1,2,2,2,3,1,1,"neutral or dissatisfied"
4,3276,3,3,4,3,2,3,3,"satisfied"
5,3399,5,4,4,4,3,4,5,"satisfied"
4,334,4,2,3,5,1,2,4,"neutral or dissatisfied"
5,328,5,0,2,4,4,5,5,"satisfied"
4,2928,3,3,5,5,5,5,2,"satisfied"
2,903,2,2,3,5,1,4,2,"neutral or dissatisfied"
1,294,1,4,3,5,4,4,1,"neutral or dissatisfied"
1,1770,1,1,3,3,1,2,1,"neutral or dissatisfied"
1,521,1,3,4,1,1,3,1,"neutral or dissatisfied"
3,594,2,1,2,2,2,2,2,"neutral or dissatisfied"
3,539,3,5,3,3,4,4,3,"neutral or dissatisfied"
4,3704,5,5,4,4,4,4,5,"satisfied"
3,1199,3,4,3,3,3,3,4,"neutral or dissatisfied"
3,1235,3,0,1,4,3,4,3,"neutral or dissatisfied"
4,1788,2,4,4,2,5,4,2,"neutral or dissatisfied"
4,3335,5,5,4,2,3,3,5,"satisfied"
2,693,2,2,2,2,2,3,2,"neutral or dissatisfied"
3,404,3,3,4,1,4,4,3,"neutral or dissatisfied"
5,925,5,5,4,4,3,4,5,"satisfied"
3,1533,3,4,1,3,3,4,3,"neutral or dissatisfied"
3,1121,3,4,2,3,3,3,3,"neutral or dissatisfied"
4,192,5,5,5,1,5,1,5,"satisfied"
5,425,2,0,3,5,5,3,5,"neutral or dissatisfied"
3,502,3,4,1,5,4,3,3,"neutral or dissatisfied"
3,1759,2,2,2,2,4,2,5,"neutral or dissatisfied"
5,1747,2,5,3,2,3,3,2,"neutral or dissatisfied"
5,236,5,5,4,3,4,4,5,"satisfied"
3,589,3,2,3,4,1,1,2,"neutral or dissatisfied"
2,1476,4,4,2,1,2,5,4,"satisfied"
4,2950,3,3,4,5,3,4,3,"satisfied"
4,3795,5,5,4,4,2,4,5,"satisfied"
5,3444,3,3,4,4,5,4,3,"satisfied"
5,253,5,3,5,2,1,3,5,"satisfied"
2,663,2,5,2,4,5,5,2,"neutral or dissatisfied"
3,3580,1,4,1,1,4,1,4,"neutral or dissatisfied"
2,296,2,4,2,5,4,4,2,"neutral or dissatisfied"
5,861,4,5,3,5,5,4,4,"satisfied"
3,957,3,1,3,3,2,2,3,"neutral or dissatisfied"
5,955,5,2,5,5,4,1,2,"satisfied"
3,3868,3,3,4,4,1,4,3,"satisfied"
3,562,3,2,4,3,3,3,2,"neutral or dissatisfied"
5,3782,5,5,3,2,1,5,5,"satisfied"
4,819,4,3,4,3,1,1,3,"neutral or dissatisfied"
3,288,2,1,3,3,3,5,2,"neutral or dissatisfied"
4,2174,5,4,2,5,5,2,5,"satisfied"
2,239,2,4,4,2,1,4,2,"neutral or dissatisfied"
0,192,2,5,4,4,5,5,0,"neutral or dissatisfied"
0,599,0,4,3,3,5,5,0,"satisfied"
4,2942,2,2,2,1,3,2,3,"neutral or dissatisfied"
3,2585,3,5,3,4,4,3,5,"neutral or dissatisfied"
5,4000,2,2,4,4,5,4,2,"satisfied"
2,646,2,2,2,2,1,3,2,"neutral or dissatisfied"
3,930,2,1,2,3,3,4,1,"neutral or dissatisfied"
5,2542,5,5,5,4,4,1,5,"satisfied"
3,224,3,4,1,3,4,5,3,"neutral or dissatisfied"
2,2253,2,3,2,1,2,2,3,"neutral or dissatisfied"
5,588,4,4,5,2,3,4,3,"satisfied"
4,2086,1,1,4,4,4,4,1,"satisfied"
4,308,5,5,4,4,3,4,5,"satisfied"
5,3852,5,5,5,5,3,5,5,"satisfied"
4,406,3,1,3,3,1,3,3,"neutral or dissatisfied"
2,1172,2,4,2,4,3,4,4,"neutral or dissatisfied"
5,374,3,0,5,3,5,5,3,"neutral or dissatisfied"
4,2173,4,1,4,1,4,4,1,"neutral or dissatisfied"
5,1565,3,3,4,5,4,4,3,"satisfied"
2,3610,3,2,3,3,4,1,2,"neutral or dissatisfied"
2,618,2,3,1,3,2,4,2,"neutral or dissatisfied"
3,992,3,4,3,5,4,4,3,"neutral or dissatisfied"
2,3043,2,2,2,4,2,4,2,"neutral or dissatisfied"
4,792,3,3,4,3,1,3,3,"satisfied"
3,551,3,4,5,3,2,5,3,"neutral or dissatisfied"
4,101,0,3,3,3,2,3,0,"satisfied"
4,1438,2,2,4,2,3,5,2,"satisfied"
4,1107,4,0,1,3,3,3,4,"satisfied"
2,611,2,2,2,5,4,1,5,"neutral or dissatisfied"
3,528,3,2,3,5,4,4,3,"neutral or dissatisfied"
4,589,4,4,5,2,3,4,4,"neutral or dissatisfied"
3,581,3,1,2,1,1,3,3,"neutral or dissatisfied"
5,1849,1,1,5,2,5,4,1,"satisfied"
3,722,4,1,4,4,2,4,1,"satisfied"
4,762,4,4,5,5,4,5,4,"satisfied"
1,1744,1,5,2,2,4,3,1,"neutral or dissatisfied"
3,1399,3,1,3,2,3,3,1,"neutral or dissatisfied"
1,2616,1,5,1,5,3,3,5,"neutral or dissatisfied"
5,431,3,3,5,5,3,5,5,"satisfied"
2,436,2,4,5,2,5,5,2,"neutral or dissatisfied"
5,2519,5,5,5,2,5,4,5,"satisfied"
5,507,3,5,2,3,5,2,3,"neutral or dissatisfied"
4,1050,5,5,5,5,4,5,3,"satisfied"
4,697,4,5,4,1,1,3,5,"satisfied"
2,393,3,5,3,2,4,5,2,"neutral or dissatisfied"
2,1085,2,5,2,4,4,3,3,"neutral or dissatisfied"
4,1182,4,4,4,4,2,2,4,"satisfied"
0,599,1,3,1,3,5,5,0,"neutral or dissatisfied"
5,1464,2,3,4,4,4,4,2,"satisfied"
3,2419,3,4,2,4,5,3,3,"neutral or dissatisfied"
2,3075,2,5,2,1,2,2,5,"neutral or dissatisfied"
2,899,2,2,2,2,2,1,2,"neutral or dissatisfied"
3,911,3,5,1,3,3,4,3,"neutral or dissatisfied"
5,447,5,5,5,3,5,2,5,"satisfied"
4,425,4,4,5,3,5,5,4,"neutral or dissatisfied"
4,3795,1,1,4,4,5,4,3,"satisfied"
4,834,4,3,1,3,3,4,4,"satisfied"
4,296,4,5,1,3,4,5,4,"neutral or dissatisfied"
5,204,5,5,5,4,4,5,5,"satisfied"
3,89,3,1,3,1,1,2,1,"neutral or dissatisfied"
4,631,5,5,5,5,4,5,5,"satisfied"
3,1090,3,3,5,4,1,1,3,"neutral or dissatisfied"
4,760,5,3,5,5,1,5,3,"satisfied"
1,1211,1,3,2,1,1,1,1,"neutral or dissatisfied"
4,909,2,5,3,2,4,3,5,"neutral or dissatisfied"
5,397,5,5,4,4,3,4,5,"satisfied"
4,630,1,1,4,1,1,5,1,"satisfied"
2,2063,2,4,1,4,2,1,4,"neutral or dissatisfied"
5,2315,1,1,5,5,3,5,4,"satisfied"
0,265,4,3,1,2,3,1,0,"neutral or dissatisfied"
5,813,5,5,3,3,4,3,5,"satisfied"
4,307,4,3,2,4,4,1,4,"neutral or dissatisfied"
3,101,3,3,3,1,3,3,3,"satisfied"
4,302,4,4,4,5,5,3,4,"neutral or dissatisfied"
3,250,3,3,2,3,1,3,3,"neutral or dissatisfied"
3,280,3,5,5,4,5,3,3,"neutral or dissatisfied"
3,302,4,1,4,3,2,1,1,"neutral or dissatisfied"
3,407,3,2,4,3,4,4,2,"neutral or dissatisfied"
2,1810,2,2,4,2,3,4,2,"neutral or dissatisfied"
2,265,2,2,2,4,2,4,2,"neutral or dissatisfied"
5,1609,3,3,5,4,4,5,3,"satisfied"
3,337,1,4,4,3,4,5,3,"neutral or dissatisfied"
4,2279,3,3,3,3,3,3,3,"satisfied"
2,533,4,5,5,4,5,5,5,"satisfied"
2,2704,2,5,5,4,2,2,2,"neutral or dissatisfied"
5,308,4,4,5,2,5,4,4,"satisfied"
5,236,4,4,4,4,3,4,4,"satisfied"
4,377,3,5,4,3,5,4,3,"neutral or dissatisfied"
4,3649,3,2,3,3,4,3,2,"neutral or dissatisfied"
3,3871,2,3,2,1,3,2,3,"neutral or dissatisfied"
5,3973,1,1,5,5,5,5,1,"satisfied"
3,1428,2,5,2,2,4,3,3,"neutral or dissatisfied"
4,550,3,1,3,3,3,3,3,"neutral or dissatisfied"
2,301,2,2,3,2,2,1,2,"neutral or dissatisfied"
5,516,4,4,4,4,4,4,4,"satisfied"
4,223,4,4,4,5,4,4,4,"satisfied"
4,290,5,1,5,5,2,5,1,"satisfied"
4,226,4,4,1,3,3,5,4,"neutral or dissatisfied"
5,224,5,0,4,2,4,3,5,"satisfied"
5,3398,2,2,4,5,5,4,2,"satisfied"
3,304,3,4,3,3,4,2,4,"neutral or dissatisfied"
4,2804,2,3,4,4,5,2,2,"satisfied"
5,1192,5,5,3,3,3,4,5,"satisfied"
3,228,3,3,2,1,4,1,3,"neutral or dissatisfied"
4,347,2,2,4,1,3,3,2,"satisfied"
1,404,1,5,4,3,4,4,1,"neutral or dissatisfied"
2,139,2,1,3,2,3,4,2,"neutral or dissatisfied"
4,554,4,0,5,3,4,4,4,"satisfied"
2,861,2,2,3,5,3,3,2,"neutral or dissatisfied"
5,1576,2,2,5,5,3,5,1,"satisfied"
4,611,5,5,4,4,3,5,5,"satisfied"
3,2496,3,4,5,4,3,5,4,"neutral or dissatisfied"
4,1201,4,4,4,5,5,3,4,"satisfied"
5,438,5,3,5,4,2,3,3,"satisfied"
4,230,0,0,4,2,5,5,0,"satisfied"
4,1180,4,4,2,5,5,3,4,"neutral or dissatisfied"
3,164,3,2,2,3,4,2,3,"neutral or dissatisfied"
4,151,4,2,4,4,3,4,2,"satisfied"
2,760,2,2,5,1,1,1,2,"neutral or dissatisfied"
0,399,0,5,4,4,5,4,0,"satisfied"
4,1572,4,4,4,4,5,4,4,"satisfied"
4,1814,4,3,4,4,1,2,4,"neutral or dissatisfied"
1,2582,2,2,2,5,3,1,2,"neutral or dissatisfied"
4,1452,4,4,2,5,5,5,4,"neutral or dissatisfied"
2,300,2,1,4,3,3,4,2,"neutral or dissatisfied"
4,3739,4,4,4,4,5,4,4,"satisfied"
3,373,3,4,4,3,5,2,3,"neutral or dissatisfied"
2,277,2,2,2,4,3,4,2,"neutral or dissatisfied"
4,581,4,4,4,4,3,4,4,"satisfied"
1,726,1,1,2,5,5,4,1,"neutral or dissatisfied"
3,581,3,5,2,4,4,3,3,"neutral or dissatisfied"
5,364,3,1,1,1,1,1,5,"neutral or dissatisfied"
5,861,3,4,4,3,3,4,3,"neutral or dissatisfied"
5,181,3,3,5,5,5,5,5,"satisfied"
4,711,1,3,2,0,4,2,0,"neutral or dissatisfied"
3,382,3,5,2,4,4,5,3,"neutral or dissatisfied"
5,577,1,4,5,1,5,5,1,"neutral or dissatisfied"
5,3482,4,4,5,5,4,2,4,"satisfied"
3,404,3,2,3,3,2,3,2,"neutral or dissatisfied"
3,2521,3,5,3,1,3,2,5,"neutral or dissatisfied"
4,762,2,3,4,4,4,4,2,"satisfied"
4,247,4,2,1,5,2,1,4,"neutral or dissatisfied"
2,240,2,2,2,5,3,2,3,"neutral or dissatisfied"
5,919,1,1,4,4,3,4,1,"satisfied"
2,599,2,5,4,2,5,4,2,"neutral or dissatisfied"
5,399,3,5,5,3,3,5,3,"neutral or dissatisfied"
3,148,2,2,1,2,4,1,2,"neutral or dissatisfied"
4,102,4,5,2,1,1,4,4,"neutral or dissatisfied"
4,134,0,5,2,2,5,2,0,"satisfied"
4,337,3,1,3,3,4,3,4,"neutral or dissatisfied"
5,957,2,2,5,5,5,5,2,"satisfied"
5,1744,2,2,4,5,3,4,2,"satisfied"
5,3488,2,4,5,5,3,5,2,"satisfied"
4,2733,1,3,1,1,3,1,3,"neutral or dissatisfied"
0,1199,0,4,5,1,5,2,0,"satisfied"
3,237,3,5,2,2,4,5,3,"neutral or dissatisfied"
4,3252,1,1,4,3,3,5,1,"satisfied"
4,2586,5,5,4,3,4,2,5,"satisfied"
3,1721,3,3,3,4,2,1,3,"neutral or dissatisfied"
2,234,2,2,5,3,2,1,2,"neutral or dissatisfied"
3,473,3,0,4,2,4,3,3,"neutral or dissatisfied"
3,237,3,1,3,1,2,4,1,"neutral or dissatisfied"
4,1020,4,4,4,2,3,4,4,"neutral or dissatisfied"
1,393,1,5,5,3,5,3,1,"neutral or dissatisfied"
5,2419,5,3,1,5,4,1,5,"satisfied"
4,314,0,0,4,4,4,4,0,"satisfied"
4,3923,3,3,4,4,4,4,4,"satisfied"
4,548,4,5,4,4,2,4,5,"satisfied"
4,898,4,4,1,5,4,5,4,"neutral or dissatisfied"
4,1721,4,4,4,5,5,4,4,"neutral or dissatisfied"
3,2544,3,1,3,3,4,3,1,"neutral or dissatisfied"
4,1722,2,2,5,5,4,5,2,"satisfied"
4,964,4,5,5,4,5,4,4,"satisfied"
4,3242,3,3,4,4,5,4,3,"satisfied"
5,169,5,4,3,3,3,3,5,"satisfied"
2,277,2,1,3,4,3,2,2,"neutral or dissatisfied"
5,3657,4,4,5,5,5,5,4,"satisfied"
1,798,2,2,1,4,3,2,2,"neutral or dissatisfied"
2,187,2,2,3,2,3,5,2,"neutral or dissatisfied"
4,431,5,5,5,5,4,5,5,"satisfied"
5,231,5,1,5,2,2,3,1,"satisfied"
3,1035,3,1,4,3,4,3,3,"neutral or dissatisfied"
5,551,4,4,5,2,3,3,4,"satisfied"
3,2747,4,2,4,4,1,4,2,"neutral or dissatisfied"
5,237,2,2,5,5,5,4,2,"satisfied"
3,606,2,2,3,2,2,3,2,"neutral or dissatisfied"
3,762,3,5,3,1,3,3,5,"neutral or dissatisfied"
3,1040,3,3,2,2,4,5,3,"neutral or dissatisfied"
4,1598,4,4,4,3,2,5,5,"satisfied"
3,1504,3,3,3,2,4,3,3,"satisfied"
4,101,4,4,4,1,4,5,4,"satisfied"
2,2453,2,3,2,2,2,2,3,"neutral or dissatisfied"
4,530,4,2,4,2,1,1,4,"neutral or dissatisfied"
4,2844,1,1,4,4,4,4,1,"satisfied"
1,190,1,3,1,2,1,3,3,"neutral or dissatisfied"
1,1009,1,1,1,1,3,3,1,"neutral or dissatisfied"
5,368,5,1,4,1,3,4,5,"satisfied"
5,2301,1,1,5,5,3,3,1,"satisfied"
3,1558,4,1,4,3,1,4,1,"neutral or dissatisfied"
4,435,1,1,4,4,3,4,5,"satisfied"
1,2475,1,1,1,2,1,1,1,"neutral or dissatisfied"
3,1217,1,0,2,0,1,2,0,"neutral or dissatisfied"
3,517,3,5,2,5,4,4,3,"neutral or dissatisfied"
4,2363,2,4,2,2,4,2,5,"neutral or dissatisfied"
1,692,2,1,2,3,2,5,1,"neutral or dissatisfied"
2,356,2,0,2,4,4,2,2,"neutral or dissatisfied"
2,3214,2,2,2,2,3,1,2,"neutral or dissatisfied"
5,819,4,5,4,4,1,2,5,"neutral or dissatisfied"
2,1685,0,0,3,3,1,3,0,"satisfied"
5,2031,5,5,5,5,4,5,5,"satisfied"
3,954,3,4,5,1,2,2,3,"neutral or dissatisfied"
3,913,3,4,5,4,5,3,3,"neutral or dissatisfied"
4,977,3,4,4,3,3,4,3,"neutral or dissatisfied"
3,1605,3,3,5,1,4,2,3,"neutral or dissatisfied"
4,895,4,4,4,4,3,4,4,"neutral or dissatisfied"
4,3328,3,3,4,4,4,4,3,"satisfied"
5,3483,4,4,3,4,5,3,4,"satisfied"
5,541,3,5,3,3,3,3,3,"neutral or dissatisfied"
5,262,5,4,4,5,4,2,5,"satisfied"
3,571,3,5,2,4,4,4,3,"neutral or dissatisfied"
5,333,4,4,5,5,4,5,4,"satisfied"
4,2716,5,5,2,2,3,2,1,"satisfied"
4,895,4,4,3,2,3,3,4,"satisfied"
4,74,0,5,1,1,4,1,0,"satisfied"
5,2077,5,4,3,4,3,3,4,"satisfied"
2,226,2,3,2,1,4,4,2,"neutral or dissatisfied"
3,3055,1,2,1,1,1,1,2,"neutral or dissatisfied"
3,280,3,4,3,4,2,3,4,"neutral or dissatisfied"
5,2650,2,2,4,4,5,4,2,"satisfied"
4,2420,5,5,4,4,5,4,5,"satisfied"
4,1091,2,1,5,2,2,5,2,"neutral or dissatisfied"
4,110,3,4,3,1,1,1,3,"satisfied"
3,689,3,3,2,4,1,4,3,"neutral or dissatisfied"
4,1942,1,1,4,4,5,4,1,"satisfied"
3,2446,3,3,3,5,3,3,3,"satisfied"
5,2043,4,4,4,5,4,4,4,"satisfied"
5,313,5,4,5,1,1,1,4,"satisfied"
4,545,4,3,4,5,3,3,1,"neutral or dissatisfied"
4,2475,5,5,5,5,5,5,5,"satisfied"
5,696,2,5,1,2,5,1,2,"neutral or dissatisfied"
5,308,2,4,1,2,4,1,2,"neutral or dissatisfied"
3,388,3,1,3,3,1,4,3,"neutral or dissatisfied"
4,1995,3,3,5,5,5,5,3,"satisfied"
4,236,1,1,1,1,4,1,1,"neutral or dissatisfied"
3,666,3,3,5,4,2,4,3,"neutral or dissatisfied"
4,223,4,0,4,2,4,3,4,"neutral or dissatisfied"
2,1262,2,1,2,5,1,4,2,"neutral or dissatisfied"
2,862,2,1,3,5,3,4,2,"neutral or dissatisfied"
5,3864,1,1,4,4,4,4,1,"satisfied"
3,239,3,2,2,1,3,2,3,"neutral or dissatisfied"
3,328,3,3,4,3,5,3,3,"neutral or dissatisfied"
3,602,2,4,2,2,1,2,4,"neutral or dissatisfied"
5,297,3,4,4,3,5,4,3,"neutral or dissatisfied"
4,577,5,5,4,4,3,4,5,"satisfied"
5,1972,3,3,5,5,5,5,3,"satisfied"
4,417,1,1,4,4,3,4,4,"satisfied"
4,848,4,4,2,1,3,4,4,"neutral or dissatisfied"
4,802,4,4,4,1,4,3,4,"neutral or dissatisfied"
5,2259,5,5,4,4,3,4,4,"satisfied"
1,697,1,4,1,4,4,4,3,"neutral or dissatisfied"
4,419,1,3,2,4,5,5,4,"neutral or dissatisfied"
4,837,4,4,5,2,3,3,4,"satisfied"
1,679,1,1,4,5,4,5,1,"neutral or dissatisfied"
4,152,4,4,2,4,4,1,4,"satisfied"
4,1123,1,4,2,1,4,2,1,"neutral or dissatisfied"
5,2711,2,2,4,4,3,4,2,"satisfied"
4,1867,1,1,5,4,3,5,1,"satisfied"
2,251,2,4,4,4,3,3,2,"neutral or dissatisfied"
3,594,3,5,3,3,5,4,3,"neutral or dissatisfied"
4,693,5,1,5,5,4,5,1,"satisfied"
5,679,5,1,5,1,1,5,1,"satisfied"
4,399,4,0,5,1,5,3,4,"satisfied"
3,1154,3,3,1,4,2,4,3,"neutral or dissatisfied"
4,372,4,2,4,3,2,4,4,"neutral or dissatisfied"
3,3072,1,4,1,1,2,1,4,"neutral or dissatisfied"
2,3679,5,3,4,4,3,4,5,"satisfied"
4,1069,4,2,4,4,1,4,3,"satisfied"
2,480,2,3,5,5,1,1,2,"neutral or dissatisfied"
4,432,2,4,2,2,5,2,2,"neutral or dissatisfied"
3,1199,0,4,2,0,5,2,0,"satisfied"
5,822,3,3,2,2,5,2,5,"satisfied"
5,1605,2,1,5,2,5,5,2,"satisfied"
3,139,2,4,3,3,4,3,5,"neutral or dissatisfied"
4,327,4,4,4,4,5,5,4,"satisfied"
1,1020,1,1,4,1,3,3,1,"neutral or dissatisfied"
1,175,1,4,5,4,4,5,1,"neutral or dissatisfied"
5,550,4,4,2,3,3,4,5,"satisfied"
3,650,3,2,5,3,1,2,3,"neutral or dissatisfied"
3,237,4,2,4,4,1,4,2,"neutral or dissatisfied"
4,3726,4,4,2,2,5,2,4,"satisfied"
1,624,3,1,2,3,3,2,1,"neutral or dissatisfied"
3,1643,2,4,3,3,4,3,3,"neutral or dissatisfied"
2,1751,2,5,1,2,5,3,2,"neutral or dissatisfied"
4,1171,4,4,5,3,4,5,4,"satisfied"
1,328,1,0,4,3,5,4,1,"neutral or dissatisfied"
3,147,3,1,5,2,1,3,3,"neutral or dissatisfied"
4,397,3,5,5,3,4,5,3,"neutral or dissatisfied"
3,224,3,1,4,3,1,2,3,"neutral or dissatisfied"
2,1197,2,2,4,2,4,2,2,"neutral or dissatisfied"
2,374,2,0,1,5,5,4,2,"neutral or dissatisfied"
5,447,5,1,5,4,4,5,1,"satisfied"
4,2718,3,4,5,5,3,5,3,"satisfied"
3,395,3,0,5,2,5,5,3,"neutral or dissatisfied"
2,744,2,5,5,3,4,5,2,"neutral or dissatisfied"
3,1444,1,1,1,1,3,1,1,"neutral or dissatisfied"
5,2475,4,4,5,4,5,5,4,"satisfied"
4,1246,2,2,4,4,5,4,2,"satisfied"
5,406,2,2,4,4,3,4,2,"satisfied"
4,1197,4,4,2,2,5,4,4,"neutral or dissatisfied"
2,1089,2,2,2,5,3,1,2,"neutral or dissatisfied"
3,846,5,5,3,2,3,3,5,"satisfied"
3,1097,3,3,2,2,2,3,3,"neutral or dissatisfied"
2,780,2,3,2,4,1,5,2,"neutral or dissatisfied"
5,3054,0,0,5,5,3,5,0,"satisfied"
4,834,4,0,3,2,4,5,4,"neutral or dissatisfied"
3,366,3,4,1,3,5,4,3,"neutral or dissatisfied"
4,490,5,5,3,4,3,1,4,"satisfied"
1,2676,4,4,3,3,1,5,4,"neutral or dissatisfied"
3,607,4,4,3,4,4,3,4,"neutral or dissatisfied"
3,201,3,4,3,3,2,2,3,"neutral or dissatisfied"
2,3961,0,3,3,3,3,3,0,"satisfied"
4,620,2,5,3,2,5,3,2,"neutral or dissatisfied"
4,972,1,1,4,4,5,4,1,"satisfied"
4,237,4,4,3,4,3,3,4,"neutral or dissatisfied"
2,640,2,2,2,3,5,5,2,"neutral or dissatisfied"
2,109,2,5,4,4,1,3,2,"neutral or dissatisfied"
3,783,3,4,4,5,3,3,3,"neutral or dissatisfied"
3,1024,3,3,3,4,3,4,3,"neutral or dissatisfied"
4,427,1,0,3,1,4,3,1,"neutral or dissatisfied"
1,1188,1,4,4,2,1,5,2,"neutral or dissatisfied"
0,937,0,2,1,1,3,3,0,"satisfied"
4,978,4,5,4,1,3,2,5,"satisfied"
